Universe	Total population
PCT017085	10	Ugandan
PCT017086	10	Zairian
PCT017087	10	Zimbabwean
PCT017088	10	African
PCT017089	10	Other Subsaharan African
PCT017090	8	Swedish
PCT017091	8	Swiss
PCT017092	8	Turkish
PCT017093	8	Ukrainian
PCT017094	8	United States or American
PCT017095	8	Welsh
PCT017096	8	West Indian (excluding Hispanic groups):
PCT017097	10	Bahamian
PCT017098	10	Barbadian
PCT017099	10	Belizean
PCT017100	10	Bermudan
PCT017101	10	British West Indian
PCT017102	10	Dutch West Indian
PCT017103	10	Haitian
PCT017104	10	Jamaican
PCT017105	10	Trinidadian and Tobagonian
PCT017106	10	U.S. Virgin Islander
PCT017107	10	West Indian
PCT017108	10	Other West Indian
PCT017109	8	Yugoslavian
PCT017110	8	Other groups
PCT017111	6	Unclassified or not reported
Universe	People with ancestry reported
PCT018001	0	Total specified ancestries tallied:
PCT018002	6	Acadian/Cajun
PCT018003	6	Afghan
PCT018004	6	Albanian
PCT018005	6	Alsatian
PCT018006	6	Arab:
PCT018007	8	Egyptian
PCT018008	8	Iraqi
PCT018009	8	Jordanian
PCT018010	8	Lebanese
PCT018011	8	Moroccan
PCT018012	8	Palestinian
PCT018013	8	Syrian
PCT018014	8	Arab/Arabic
PCT018015	8	Other Arab
PCT018016	6	Armenian
PCT018017	6	Assyrian/Chaldean/Syriac
PCT018018	6	Australian
PCT018019	6	Austrian
PCT018020	6	Basque
PCT018021	6	Belgian
PCT018022	6	Brazilian
PCT018023	6	British
PCT018024	6	Bulgarian
PCT018025	6	Canadian
PCT018026	6	Carpatho Rusyn
PCT018027	6	Celtic
PCT018028	6	Croatian
PCT018029	6	Cypriot
PCT018030	6	Czech
PCT018031	6	Czechoslovakian
PCT018032	6	Danish
PCT018033	6	Dutch
PCT018034	6	Eastern European
PCT018035	6	English
PCT018036	6	Estonian
PCT018037	6	European
PCT018038	6	Finnish
PCT018039	6	French (except Basque)
PCT018040	6	French Canadian
PCT018041	6	German
PCT018042	6	German Russian
PCT018043	6	Greek
PCT018044	6	Guyanese
PCT018045	6	Hungarian
PCT018046	6	Icelander
PCT018047	6	Iranian
PCT018048	6	Irish
PCT018049	6	Israeli
PCT018050	6	Italian
PCT018051	6	Latvian
PCT018052	6	Lithuanian
PCT018053	6	Luxemburger
PCT018054	6	Macedonian
PCT018055	6	Maltese
PCT018056	6	New Zealander
PCT018057	6	Northern European
PCT018058	6	Norwegian
PCT018059	6	Pennsylvania German
PCT018060	6	Polish
PCT018061	6	Portuguese
PCT018062	6	Romanian
PCT018063	6	Russian
PCT018064	6	Scandinavian
PCT018065	6	Scotch-Irish
PCT018066	6	Scottish
PCT018067	6	Serbian
PCT018068	6	Slavic
PCT018069	6	Slovak
PCT018070	6	Slovene
PCT018071	6	Soviet Union
PCT018072	6	Subsaharan African:
PCT018073	8	Cape Verdean
PCT018074	8	Ethiopian
PCT018075	8	Ghanian
PCT018076	8	Kenyan
PCT018077	8	Liberian
PCT018078	8	Nigerian
PCT018079	8	Senegalese
PCT018080	8	Sierra Leonean
PCT018081	8	Somalian
PCT018082	8	South African
PCT018083	8	Sudanese
PCT018084	8	Ugandan
PCT018085	8	Zairian
PCT018086	8	Zimbabwean
PCT018087	8	African
PCT018088	8	Other Subsaharan African
PCT018089	6	Swedish
PCT018090	6	Swiss
PCT018091	6	Turkish
PCT018092	6	Ukrainian
PCT018093	6	United States or American
PCT018094	6	Welsh
PCT018095	6	West Indian (excluding Hispanic groups):
PCT018096	8	Bahamian
PCT018097	8	Barbadian
PCT018098	8	Belizean
PCT018099	8	Bermudan
PCT018100	8	British West Indian
PCT018101	8	Dutch West Indian
PCT018102	8	Haitian
PCT018103	8	Jamaican
PCT018104	8	Trinidadian and Tobagonian
PCT018105	8	U.S. Virgin Islander
PCT018106	8	West Indian
PCT018107	8	Other West Indian
PCT018108	6	Yugoslavian
PCT018109	6	Other groups
Universe	Foreign-born population
PCT019001	0	Total:
PCT019002	6	Europe:
PCT019003	8	Northern Europe:
PCT019004	10	United Kingdom
PCT019005	10	Ireland
PCT019006	10	Sweden
PCT019007	10	Other Northern Europe
PCT019008	8	Western Europe:
PCT019009	10	Austria
PCT019010	10	France
PCT019011	10	Germany
PCT019012	10	Netherlands
PCT019013	10	Other Western Europe
PCT019014	8	Southern Europe:
PCT019015	10	Greece
PCT019016	10	Italy
PCT019017	10	Portugal
PCT019018	10	Spain
PCT019019	10	Other Southern Europe
PCT019020	8	Eastern Europe:
PCT019021	10	Czechoslovakia (includes Czech Republic and Slovakia)
PCT019022	10	Hungary
PCT019023	10	Poland
PCT019024	10	Romania
PCT019025	10	Belarus
PCT019026	10	Russia
PCT019027	10	Ukraine
PCT019028	10	Bosnia and Herzegovina
PCT019029	10	Yugoslavia
PCT019030	10	Other Eastern Europe
PCT019031	8	Europe, n.e.c.
PCT019032	6	Asia:
PCT019033	8	Eastern Asia:
PCT019034	10	China:
PCT019035	12	China, excluding Hong Kong and Taiwan
PCT019036	12	Hong Kong
PCT019037	12	Taiwan
PCT019038	10	Japan
PCT019039	10	Korea
PCT019040	10	Other Eastern Asia
PCT019041	8	South Central Asia:
PCT019042	10	Afghanistan
PCT019043	10	Bangladesh
PCT019044	10	India
PCT019045	10	Iran
PCT019046	10	Pakistan
PCT019047	10	Other South Central Asia
PCT019048	8	South Eastern Asia:
PCT019049	10	Cambodia
PCT019050	10	Indonesia
PCT019051	10	Laos
PCT019052	10	Malaysia
PCT019053	10	Philippines
PCT019054	10	Thailand
PCT019055	10	Vietnam
PCT019056	10	Other South Eastern Asia
PCT019057	8	Western Asia:
PCT019058	10	Iraq
PCT019059	10	Israel
PCT019060	10	Jordan
PCT019061	10	Lebanon
PCT019062	10	Syria
PCT019063	10	Turkey
PCT019064	10	Armenia
PCT019065	10	Other Western Asia
PCT019066	8	Asia, n.e.c.
PCT019067	6	Africa:
PCT019068	8	Eastern Africa:
PCT019069	10	Ethiopia
PCT019070	10	Other Eastern Africa
PCT019071	8	Middle Africa
PCT019072	8	Northern Africa:
PCT019073	10	Egypt
PCT019074	10	Other Northern Africa
PCT019075	8	Southern Africa:
PCT019076	10	South Africa
PCT019077	10	Other Southern Africa
PCT019078	8	Western Africa:
PCT019079	10	Ghana
PCT019080	10	Nigeria
PCT019081	10	Sierra Leone
PCT019082	10	Other Western Africa
PCT019083	8	Africa, n.e.c.
PCT019084	6	Oceania:
PCT019085	8	Australia and New Zealand Subregion:
PCT019086	10	Australia
PCT019087	10	Other Australian and New Zealand Subregion
PCT019088	8	Melanesia
PCT019089	8	Micronesia
PCT019090	8	Polynesia
PCT019091	8	Oceania, n.e.c.
PCT019092	6	Americas:
PCT019093	8	Latin America:
PCT019094	10	Caribbean:
PCT019095	12	Barbados
PCT019096	12	Cuba
PCT019097	12	Dominican Republic
PCT019098	12	Haiti
PCT019099	12	Jamaica
PCT019100	12	Trinidad and Tobago
PCT019101	12	Other Caribbean
PCT019102	10	Central America:
PCT019103	12	Mexico
PCT019104	12	Other Central America:
PCT019105	14	Costa Rica
PCT019106	14	El Salvador
PCT019107	14	Guatemala
PCT019108	14	Honduras
PCT019109	14	Nicaragua
PCT019110	14	Panama
PCT019111	14	Other Central America
PCT019112	10	South America:
PCT019113	12	Argentina
PCT019114	12	Bolivia
PCT019115	12	Brazil
PCT019116	12	Chile
PCT019117	12	Colombia
PCT019118	12	Ecuador
PCT019119	12	Guyana
PCT019120	12	Peru
PCT019121	12	Venezuela
PCT019122	12	Other South America
PCT019123	8	Northern America:
PCT019124	10	Canada
PCT019125	10	Other Northern America
PCT019126	6	Born at sea
Universe	Foreign-born population
PCT020001	0	Total:
PCT020002	6	Europe:
PCT020003	8	Year of entry 1990 to March 2000:
PCT020004	10	Naturalized citizen
PCT020005	10	Not a citizen
PCT020006	8	Year of entry 1980 to 1989:
PCT020007	10	Naturalized citizen
PCT020008	10	Not a citizen
PCT020009	8	Year of entry before 1980:
PCT020010	10	Naturalized citizen
PCT020011	10	Not a citizen
PCT020012	6	Asia:
PCT020013	8	Year of entry 1990 to March 2000:
PCT020014	10	Naturalized citizen
PCT020015	10	Not a citizen
PCT020016	8	Year of entry 1980 to 1989:
PCT020017	10	Naturalized citizen
PCT020018	10	Not a citizen
PCT020019	8	Year of entry before 1980:
PCT020020	10	Naturalized citizen
PCT020021	10	Not a citizen
PCT020022	6	Africa:
PCT020023	8	Year of entry 1990 to March 2000:
PCT020024	10	Naturalized citizen
PCT020025	10	Not a citizen
PCT020026	8	Year of entry 1980 to 1989:
PCT020027	10	Naturalized citizen
PCT020028	10	Not a citizen
PCT020029	8	Year of entry before 1980:
PCT020030	10	Naturalized citizen
PCT020031	10	Not a citizen
PCT020032	6	Oceania:
PCT020033	8	Year of entry 1990 to March 2000:
PCT020034	10	Naturalized citizen
PCT020035	10	Not a citizen
PCT020036	8	Year of entry 1980 to 1989:
PCT020037	10	Naturalized citizen
PCT020038	10	Not a citizen
PCT020039	8	Year of entry before 1980:
PCT020040	10	Naturalized citizen
PCT020041	10	Not a citizen
PCT020042	6	Americas:
PCT020043	8	Latin America:
PCT020044	10	Caribbean:
PCT020045	12	Year of entry 1990 to March 2000:
PCT020046	14	Naturalized citizen
PCT020047	14	Not a citizen
PCT020048	12	Year of entry 1980 to 1989:
PCT020049	14	Naturalized citizen
PCT020050	14	Not a citizen
PCT020051	12	Year of entry before 1980:
PCT020052	14	Naturalized citizen
PCT020053	14	Not a citizen
PCT020054	10	Central America:
PCT020055	12	Mexico:
PCT020056	14	Year of entry 1990 to March 2000:
PCT020057	16	Naturalized citizen
PCT020058	16	Not a citizen
PCT020059	14	Year of entry 1980 to 1989:
PCT020060	16	Naturalized citizen
PCT020061	16	Not a citizen
PCT020062	14	Year of entry before 1980:
PCT020063	16	Naturalized citizen
PCT020064	16	Not a citizen
PCT020065	12	Other Central America:
PCT020066	14	Year of entry 1990 to March 2000:
PCT020067	16	Naturalized citizen
PCT020068	16	Not a citizen
PCT020069	14	Year of entry 1980 to 1989:
PCT020070	16	Naturalized citizen
PCT020071	16	Not a citizen
PCT020072	14	Year of entry before 1980:
PCT020073	16	Naturalized citizen
PCT020074	16	Not a citizen
PCT020075	10	South America:
PCT020076	12	Year of entry 1990 to March 2000:
PCT020077	14	Naturalized citizen
PCT020078	14	Not a citizen
PCT020079	12	Year of entry 1980 to 1989:
PCT020080	14	Naturalized citizen
PCT020081	14	Not a citizen
PCT020082	12	Year of entry before 1980:
PCT020083	14	Naturalized citizen
PCT020084	14	Not a citizen
PCT020085	8	Northern America:
PCT020086	10	Year of entry 1990 to March 2000:
PCT020087	12	Naturalized citizen
PCT020088	12	Not a citizen
PCT020089	10	Year of entry 1980 to 1989:
PCT020090	12	Naturalized citizen
PCT020091	12	Not a citizen
PCT020092	10	Year of entry before 1980:
PCT020093	12	Naturalized citizen
PCT020094	12	Not a citizen
PCT020095	6	Born at sea:
PCT020096	8	Year of entry 1990 to March 2000:
PCT020097	10	Naturalized citizen
PCT020098	10	Not a citizen
PCT020099	8	Year of entry 1980 to 1989:
PCT020100	10	Naturalized citizen
PCT020101	10	Not a citizen
PCT020102	8	Year of entry before 1980:
PCT020103	10	Naturalized citizen
PCT020104	10	Not a citizen
Universe	Population 5 years and over
PCT021001	0	Total:
PCT021002	6	Same house in 1995
PCT021003	6	Different house in 1995:
PCT021004	8	In United States in 1995:
PCT021005	10	Same city or town:
PCT021006	12	Same county
PCT021007	12	Different county (same state)
PCT021008	10	Not same city or town:
PCT021009	12	Same county
PCT021010	12	Different county:
PCT021011	14	Same state
PCT021012	14	Different state:
PCT021013	16	Northeast
PCT021014	16	Midwest
PCT021015	16	South
PCT021016	16	West
PCT021017	8	In Puerto Rico in 1995:
PCT021018	10	Same city or town
PCT021019	10	Not same city or town:
PCT021020	12	Same municipio
PCT021021	12	Different municipio
PCT021022	8	Elsewhere in 1995:
PCT021023	10	U.S. Island Areas
PCT021024	10	Foreign country or at sea
Universe	Population 5 years and over
PCT022001	0	Total:
PCT022002	6	Living in an MSA/PMSA in 2000:
PCT022003	8	Same house in 1995:
PCT022004	10	Central city of this MSA/PMSA
PCT022005	10	Remainder of this MSA/PMSA
PCT022006	8	Different house in 1995:
PCT022007	10	In United States in 1995:
PCT022008	12	Same MSA/PMSA in 1995:
PCT022009	14	Moved within same central city
PCT022010	14	Moved between central cities
PCT022011	14	Moved from central city to remainder of this MSA/PMSA
PCT022012	14	Moved from remainder of this MSA/PMSA to central city
PCT022013	14	Moved within remainder of this MSA/PMSA
PCT022014	12	Different MSA/PMSA in 1995:
PCT022015	14	Central city in different MSA/PMSA
PCT022016	14	Remainder of different MSA/PMSA
PCT022017	12	Not in an MSA/PMSA in 1995
PCT022018	10	In Puerto Rico in 1995:
PCT022019	12	Same MSA/PMSA in 1995:
PCT022020	14	Moved within same central city
PCT022021	14	Moved between central cities
PCT022022	14	Moved from central city to remainder of this MSA/PMSA
PCT022023	14	Moved from remainder of this MSA/PMSA to central city
PCT022024	14	Moved within remainder of this MSA/PMSA
PCT022025	12	Different MSA/PMSA in 1995:
PCT022026	14	Central city in different MSA/PMSA
PCT022027	14	Remainder of different MSA/PMSA
PCT022028	12	Not in an MSA/PMSA in 1995
PCT022029	10	Elsewhere in 1995
PCT022030	6	Not living in an MSA/PMSA in 2000:
PCT022031	8	Same house in 1995
PCT022032	8	Different house in 1995:
PCT022033	10	In United States in 1995:
PCT022034	12	In an MSA/PMSA in 1995:
PCT022035	14	Central city
PCT022036	14	Remainder of an MSA/PMSA
PCT022037	12	Not in an MSA/PMSA in 1995
PCT022038	10	In Puerto Rico in 1995:
PCT022039	12	In an MSA/PMSA in 1995:
PCT022040	14	Central city
PCT022041	14	Remainder of an MSA/PMSA
PCT022042	12	Not in an MSA/PMSA in 1995
PCT022043	10	Elsewhere in 1995
Universe	Population 3 years and over
PCT023001	0	Total:
PCT023002	6	Male:
PCT023003	8	Enrolled in school:
PCT023004	10	3 and 4 years
PCT023005	10	5 to 9 years
PCT023006	10	10 to 14 years
PCT023007	10	15 to 17 years
PCT023008	10	18 and 19 years
PCT023009	10	20 to 24 years
PCT023010	10	25 to 34 years
PCT023011	10	35 years and over
PCT023012	8	Not enrolled in school:
PCT023013	10	3 and 4 years
PCT023014	10	5 to 9 years
PCT023015	10	10 to 14 years
PCT023016	10	15 to 17 years
PCT023017	10	18 and 19 years
PCT023018	10	20 to 24 years
PCT023019	10	25 to 34 years
PCT023020	10	35 years and over
PCT023021	6	Female:
PCT023022	8	Enrolled in school:
PCT023023	10	3 and 4 years
PCT023024	10	5 to 9 years
PCT023025	10	10 to 14 years
PCT023026	10	15 to 17 years
PCT023027	10	18 and 19 years
PCT023028	10	20 to 24 years
PCT023029	10	25 to 34 years
PCT023030	10	35 years and over
PCT023031	8	Not enrolled in school:
PCT023032	10	3 and 4 years
PCT023033	10	5 to 9 years
PCT023034	10	10 to 14 years
PCT023035	10	15 to 17 years
PCT023036	10	18 and 19 years
PCT023037	10	20 to 24 years
PCT023038	10	25 to 34 years
PCT023039	10	35 years and over
Universe	Population 15 years and over
PCT024001	0	Total:
PCT024002	6	Male:
PCT024003	8	Enrolled in college or graduate school:
PCT024004	10	15 to 17 years
PCT024005	10	18 to 24 years
PCT024006	10	25 to 34 years
PCT024007	10	35 years and over
PCT024008	8	Not enrolled in college or graduate school:
PCT024009	10	15 to 17 years
PCT024010	10	18 to 24 years
PCT024011	10	25 to 34 years
PCT024012	10	35 years and over
PCT024013	6	Female:
PCT024014	8	Enrolled in college or graduate school:
PCT024015	10	15 to 17 years
PCT024016	10	18 to 24 years
PCT024017	10	25 to 34 years
PCT024018	10	35 years and over
PCT024019	8	Not enrolled in college or graduate school:
PCT024020	10	15 to 17 years
PCT024021	10	18 to 24 years
PCT024022	10	25 to 34 years
PCT024023	10	35 years and over
Universe	Population 18 years and over
PCT025001	0	Total:
PCT025002	6	Male:
PCT025003	8	18 to 24 years:
PCT025004	10	Less than 9th grade
PCT025005	10	9th to 12th grade, no diploma
PCT025006	10	High school graduate (includes equivalency)
PCT025007	10	Some college, no degree
PCT025008	10	Associate degree
PCT025009	10	Bachelor's degree
PCT025010	10	Graduate or professional degree
PCT025011	8	25 to 34 years:
PCT025012	10	Less than 9th grade
PCT025013	10	9th to 12th grade, no diploma
PCT025014	10	High school graduate (includes equivalency)
PCT025015	10	Some college, no degree
PCT025016	10	Associate degree
PCT025017	10	Bachelor's degree
PCT025018	10	Graduate or professional degree
PCT025019	8	35 to 44 years:
PCT025020	10	Less than 9th grade
PCT025021	10	9th to 12th grade, no diploma
PCT025022	10	High school graduate (includes equivalency)
PCT025023	10	Some college, no degree
PCT025024	10	Associate degree
PCT025025	10	Bachelor's degree
PCT025026	10	Graduate or professional degree
PCT025027	8	45 to 64 years:
PCT025028	10	Less than 9th grade
PCT025029	10	9th to 12th grade, no diploma
PCT025030	10	High school graduate (includes equivalency)
PCT025031	10	Some college, no degree
PCT025032	10	Associate degree
PCT025033	10	Bachelor's degree
PCT025034	10	Graduate or professional degree
PCT025035	8	65 years and over:
PCT025036	10	Less than 9th grade
PCT025037	10	9th to 12th grade, no diploma
PCT025038	10	High school graduate (includes equivalency)
PCT025039	10	Some college, no degree
PCT025040	10	Associate degree
PCT025041	10	Bachelor's degree
PCT025042	10	Graduate or professional degree
PCT025043	6	Female:
PCT025044	8	18 to 24 years:
PCT025045	10	Less than 9th grade
PCT025046	10	9th to 12th grade, no diploma
PCT025047	10	High school graduate (includes equivalency)
PCT025048	10	Some college, no degree
PCT025049	10	Associate degree
PCT025050	10	Bachelor's degree
PCT025051	10	Graduate or professional degree
PCT025052	8	25 to 34 years:
PCT025053	10	Less than 9th grade
PCT025054	10	9th to 12th grade, no diploma
PCT025055	10	High school graduate (includes equivalency)
PCT025056	10	Some college, no degree
PCT025057	10	Associate degree
PCT025058	10	Bachelor's degree
PCT025059	10	Graduate or professional degree
